Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,30,,52,60,,,,66,,"clear, [sultry]",,82,,,,71,,,,50,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,May,31,,,,,,,,,"clear, [sultry]",,82,,78,,,,,,62,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,1,,,,,,,,82,"clear, [rawling thunder]",,82,,82,,,,70,67,64,,,,Thunder [showers] SE [whisk],
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,2,,62,,70,,,,,[illegible],,,,,,,,,,66,,,,[much sighing],
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,3,,,,,70,,,,Squally,,,,,,63,,,,60,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,4,,62,,,70,,,76,clear,,78,,,,67,,,,63,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,5,,58,,,,,,,,,,,,,69,,,,67,,,,[wind] cloudy,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,6,,,,,,,,,,,,,,,,,,,54,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,7,,,,,,,62,62,,,,,,,,,,,retracted,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,8,,,,,,,,,,,60,,,,,,48,,32,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,9,,52,,62,,,,,clear,,,,,,61,,,,56,,,,clear,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,10,,50,,,,,,,clear,,,,,,,,68,,62,,,,"clear, NE wind",
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,11,,67,,68,,,,,,,,,,,,,,,72,,,,,
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,12,,68,,73,,77,,83,clear,,89,87,85,,76,,,,68,,,,"much thunder [illegible], still raining [illegible] [cheek]",
Amherstburg_UKN-500_Forts_1840-05-06_OBS-F,1840,June,13,,68,,,,,,68,,,,,77,,73,,,,63,,,,Raining,
Amherstburg_UKN-500_Forts_1840-06-07_OBS-F,1840,June,14,,,,71,,73,,,,,,,,,,,,,66,,,,,
Amherstburg_UKN-500_Forts_1840-06-07_OBS-F,1840,June,15,,46,,56,,62,,,,,,,,64,,,,,,46,,,clear,
